step,R_SAR20,U_SAR20
0,8.54,8.12
1,5.84,5.92
2,8.12,9.28
3,9.92,10.46
4,11.16,11.92
5,11.66,11.72
6,11.3,11.34
7,9.96,10.58
8,9.44,10.24
9,9.04,10.5
10,10.6,10.16
11,10.88,11.62
12,12.54,13.64
13,14.42,17.24
14,16.84,19.62
15,19.54,23.54
16,22.64,27.16
17,25.42,29.46
18,29.5,33.0
19,32.74,38.24
20,37.78,41.64
21,41.14,46.78
22,48.7,55.1
23,50.04,61.58
24,59.76,69.78
25,65.14,78.98
26,70.02,85.94
27,74.2,98.64
28,83.3,108.28
29,87.76,122.7
30,101.0,135.38
31,111.38,152.28
32,121.12,172.04
33,136.06,187.54
34,147.02,212.62
35,168.22,237.54
36,186.44,265.06
37,205.96,300.92
38,231.78,330.54
39,252.56,375.9
40,276.44,421.86
41,307.92,471.0
42,336.5,535.04
43,372.56,594.22
44,414.54,665.28
45,452.48,736.76
46,498.48,820.82
47,536.46,907.84
48,594.02,1018.54
49,644.26,1124.52
50,712.36,1263.44
51,784.92,1376.34
52,857.32,1531.18
53,950.72,1686.7
54,1039.76,1834.7
55,1119.1,2028.66
56,1226.8,2196.94
57,1333.64,2400.98
58,1444.98,2621.86
59,1568.62,2840.58
60,1697.7,3036.9
61,1840.34,3304.32
62,1989.02,3509.1
63,2146.56,3720.06
64,2296.9,3939.58
65,2464.86,4115.6
66,2628.52,4320.24
67,2785.14,4458.28
68,2967.28,4604.46
69,3148.22,4699.1
70,3309.5,4787.6
71,3491.04,4823.28
72,3642.92,4792.6
73,3794.84,4763.74
74,3922.5,4672.16
75,4033.98,4563.1
76,4136.1,4419.76
77,4206.12,4251.72
78,4252.04,4071.08
79,4283.94,3845.42
80,4266.2,3615.72
81,4244.68,3383.38
82,4158.84,3169.64
83,4089.02,2942.42
84,3972.26,2692.58
85,3854.72,2485.66
86,3694.42,2270.0
87,3524.0,2068.52
88,3334.28,1877.24
89,3124.36,1706.96
90,2922.24,1530.3
91,2715.58,1384.7
92,2514.62,1235.54
93,2308.06,1114.58
94,2124.96,1012.68
95,1945.96,896.68
96,1753.56,799.92
97,1593.78,713.7
98,1434.38,639.58
99,1299.72,567.98
100,1177.08,504.4
101,1057.24,456.38
102,946.56,400.7
103,856.1,361.02
104,768.76,323.06
105,685.16,287.68
106,614.22,261.76
107,553.24,232.36
108,493.9,209.74
109,440.88,187.12
110,394.84,173.62
111,352.66,157.3
112,312.32,138.06
113,283.4,125.96
114,253.8,117.46
115,220.5,107.28
116,202.32,93.58
117,180.18,84.94
118,163.16,79.54
119,146.28,71.6
120,132.62,65.28
121,121.86,60.66
122,108.6,57.78
123,98.3,48.92
124,85.96,45.54
125,79.9,42.8
126,72.86,37.8
127,65.68,34.82
128,59.52,31.24
129,54.7,29.9
130,50.46,26.78
131,44.88,23.46
132,41.78,23.0
133,37.3,20.5
134,34.64,17.76
135,31.12,15.86
136,26.96,14.9
137,24.18,13.74
138,23.74,13.04
139,20.48,11.1
140,18.96,10.98
141,17.74,10.0
142,15.76,8.36
143,14.96,8.46
144,12.54,7.18
145,12.76,6.82
146,10.8,6.06
147,10.38,5.74
148,8.56,5.28
149,8.14,4.26
150,6.8,4.68
151,6.64,4.3
152,6.06,3.7
153,5.7,3.32
154,5.1,2.96
155,4.34,2.86
156,4.56,2.4
157,3.88,2.08
158,3.9,1.8
159,3.2,2.0
160,3.24,1.58
161,3.0,1.7
162,2.24,1.58
163,2.82,1.32
164,2.36,1.04
165,2.14,1.24
166,1.9,1.04
167,1.62,0.78
168,1.62,0.68
169,1.82,0.78
170,1.4,0.76
171,1.12,0.76
172,1.26,0.6
173,1.08,0.6
174,0.94,0.6
175,0.88,0.38
176,0.58,0.32
177,0.56,0.32
178,0.58,0.42
179,0.7,0.28
